age,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,traded,pos_DF,pos_FW,pos_GK,pos_MF
25,9,822,0,0,1,0,0.7,69.6,2.0,1,7.22,2.7,3.3,0.9,0.4,5.0,1.4,1.0,0,0.2,0.5,0.7,0.0,0.0,0.4,24.0,0.0,1.8,0.0,1,True,False,False,False
23,20,1678,0,0,4,1,0.3,87.4,1.9,2,6.88,1.6,1.6,0.8,1.3,6.9,0.5,0.6,0,0.0,0.1,0.1,0.0,0.1,0.3,40.5,0.0,3.7,0.0,0,True,False,False,False
26,21,1760,0,1,3,0,0.1,75.4,0.3,0,6.29,0.9,0.6,0.4,0.1,0.6,0.5,0.1,1,0.5,0.3,0.9,0.0,0.4,0.7,21.4,0.5,0.7,0.0,0,False,False,False,True
29,34,3009,0,0,2,1,0.0,54.8,0.1,1,6.6,0.0,0.0,0.1,0.0,0.5,0.1,0.0,0,0.0,0.0,0.1,0.0,0.0,0.0,20.7,0.0,6.9,0.0,0,False,False,True,False
25,11,956,5,3,2,0,1.6,80.9,0.2,1,6.83,0.7,0.3,0.7,0.0,0.3,0.2,0.0,0,1.4,0.7,0.4,0.3,1.0,0.0,15.5,0.2,0.3,0.2,0,False,True,False,False
22,31,2752,3,5,5,0,1.5,85.1,0.9,0,6.69,1.6,0.7,1.1,0.0,0.4,0.6,0.2,0,1.3,0.5,0.6,0.2,1.4,1.8,42.4,0.2,1.9,0.0,0,False,False,False,True
29,35,3157,3,1,6,0,0.8,87.0,1.3,0,7.12,1.1,2.3,1.0,0.4,4.1,0.5,0.4,1,0.4,0.5,0.6,0.1,0.1,0.1,63.6,0.0,5.6,0.1,0,True,False,False,False
31,20,1688,2,1,6,0,0.4,66.0,0.8,0,6.86,2.5,1.9,1.2,0.7,4.2,0.8,0.2,0,0.3,0.3,0.8,0.0,0.5,0.0,29.4,0.2,2.2,0.0,1,True,False,False,False
27,16,1408,4,0,4,0,0.4,91.0,1.0,0,6.8,1.6,1.1,0.6,0.4,2.7,0.5,0.4,0,0.2,0.6,0.2,0.0,0.4,0.3,40.6,0.0,2.0,0.0,0,True,False,False,False
26,0,50,0,0,0,0,0.0,65.9,0.8,0,6.12,0.5,0.0,0.0,0.0,0.3,0.0,0.3,0,0.3,0.0,0.3,0.0,0.0,0.3,10.3,0.0,0.3,0.0,0,False,False,False,True
26,22,1949,1,0,6,0,0.4,82.4,2.6,0,6.83,0.8,2.3,0.9,0.8,3.1,0.5,0.2,0,0.3,0.5,0.7,0.0,0.1,0.3,47.6,0.1,4.7,0.0,0,True,False,False,False
24,0,93,0,0,1,0,0.0,78.0,0.7,0,6.15,0.5,0.0,0.8,0.0,1.0,0.3,0.3,0,0.3,0.0,0.2,0.0,0.0,0.5,6.8,0.0,0.5,0.0,1,False,False,False,True
22,13,1096,3,0,4,0,0.9,83.5,1.5,2,6.86,2.5,0.8,1.2,0.0,0.7,0.7,0.2,0,0.7,0.6,0.6,0.2,0.4,0.6,25.6,0.2,0.3,0.0,0,False,False,False,True
23,27,2387,1,4,4,0,0.8,76.3,0.3,2,6.76,1.7,1.1,0.9,0.1,1.7,0.6,0.1,0,1.7,1.0,1.1,0.1,0.9,1.1,29.7,1.3,1.8,0.0,0,False,False,False,True
22,1,91,0,0,0,0,0.5,72.4,0.0,0,6.03,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.3,0.8,0.5,0.3,0.3,1.3,7.3,0.3,0.0,0.0,1,False,False,False,True
34,0,59,0,0,1,0,0.5,87.5,0.0,0,6.05,0.8,0.0,0.5,0.0,0.3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.3,0.5,6.0,0.0,0.0,0.0,0,False,False,False,True
28,1,71,0,0,0,0,1.0,69.2,0.0,0,6.09,0.0,0.5,1.0,0.0,0.0,0.5,0.0,0,0.0,0.0,0.5,0.0,1.0,0.0,6.5,0.0,0.0,0.0,0,False,True,False,False
41,1,90,0,0,0,0,0.0,80.0,0.0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,5.0,0.0,0,False,False,True,False
29,9,810,0,0,1,0,0.3,74.9,0.3,0,6.79,2.3,1.7,0.2,0.4,2.6,0.1,0.3,0,0.7,0.6,0.3,0.0,0.0,0.0,41.1,0.9,1.9,0.0,0,True,False,False,False
22,4,452,3,0,0,0,0.8,79.1,0.1,0,6.32,0.1,0.2,0.6,0.0,0.0,0.1,0.0,0,0.5,0.5,0.9,0.3,0.9,1.2,5.1,0.1,0.0,0.0,1,False,True,False,False
29,7,724,0,0,2,0,0.2,67.7,1.3,0,6.31,1.4,1.0,0.7,0.4,1.5,1.1,0.1,0,0.2,0.5,0.2,0.0,0.2,1.0,20.5,0.3,0.8,0.0,1,False,False,False,True
25,13,1085,5,0,4,0,1.3,87.4,1.9,2,6.96,1.2,0.8,1.5,0.0,0.9,0.9,0.2,0,0.7,0.3,1.0,0.1,0.5,1.2,41.8,0.1,1.2,0.1,0,False,False,False,True
29,2,123,0,0,0,0,0.0,73.3,0.0,0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,0.0,0.0,0.0,15.0,0.0,5.5,0.0,0,False,False,True,False
27,8,756,2,0,0,0,0.8,85.7,0.4,1,6.75,1.5,1.3,0.4,0.0,0.5,0.8,0.1,0,0.1,1.4,0.5,0.0,1.0,0.6,28.4,0.1,0.6,0.1,0,False,False,False,True
32,14,1098,2,0,4,1,0.6,74.7,1.8,0,6.6,1.4,2.1,1.1,0.4,4.1,0.5,0.5,0,0.0,0.1,1.0,0.0,0.2,0.2,29.1,0.0,2.4,0.0,0,True,False,False,False
26,21,1609,3,3,5,0,0.6,82.6,0.3,1,6.69,1.6,0.5,1.1,0.0,0.3,1.3,0.0,0,0.8,0.8,0.7,0.0,1.3,1.0,33.9,0.3,3.1,0.1,0,False,False,False,True
28,24,2020,6,4,0,0,1.0,72.3,2.3,1,6.76,0.6,0.3,1.4,0.0,0.3,0.5,0.1,0,1.2,2.0,1.0,0.3,2.1,3.0,19.2,0.2,0.2,0.0,0,False,True,False,False
24,15,1350,0,0,2,0,0.0,42.8,0.7,2,7.11,0.1,0.1,0.0,0.0,2.2,0.1,0.0,0,0.0,0.0,0.3,0.0,0.0,0.1,25.9,0.0,9.9,0.0,0,False,False,True,False
30,9,824,0,0,2,1,0.1,84.5,0.2,0,6.44,1.6,0.7,0.5,0.6,3.4,0.3,0.3,0,0.2,0.1,0.4,0.0,0.1,0.0,16.1,0.1,0.7,0.0,0,True,False,False,False
24,23,1927,9,1,6,0,2.0,71.3,4.2,1,6.93,0.3,0.2,1.8,0.0,0.9,0.2,0.3,0,0.6,0.7,2.7,0.6,1.8,3.3,26.5,0.0,0.6,0.0,0,False,True,False,False
19,26,2464,12,14,2,0,1.2,84.9,0.0,7,7.52,0.6,0.4,0.1,0.0,0.1,0.6,0.0,0,1.9,3.3,1.1,0.1,1.7,2.7,38.3,0.8,0.6,0.1,0,False,False,False,True
19,2,349,2,1,1,0,0.5,81.4,0.4,0,6.58,1.0,0.4,0.1,0.0,0.4,1.0,0.4,0,0.8,0.8,0.5,0.1,1.0,2.3,19.5,0.5,0.9,0.0,0,False,False,False,True
24,0,107,0,0,1,0,0.7,72.5,0.0,0,6.18,0.3,0.3,0.7,0.0,0.3,0.7,0.0,0,0.3,0.0,1.0,0.3,0.3,0.3,17.0,0.3,0.0,0.0,1,False,True,False,False
31,10,1002,0,0,2,0,0.1,71.9,0.6,0,6.56,1.4,1.5,0.6,0.1,2.7,0.4,0.2,0,0.4,0.0,0.6,0.1,0.1,0.3,27.7,0.4,2.6,0.0,0,False,False,False,True
28,37,3330,0,1,1,0,0.0,43.2,0.2,2,6.74,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.1,0.0,0.0,0.0,29.9,0.0,8.4,0.0,0,False,False,True,False
26,16,1505,2,0,0,0,0.3,94.7,1.0,0,6.56,0.8,0.9,0.6,0.2,1.0,0.4,0.4,0,0.1,0.1,0.2,0.0,0.4,0.2,43.1,0.0,0.9,0.0,1,False,False,False,True
22,14,1292,0,2,5,0,1.0,79.8,0.6,0,6.51,1.0,0.5,1.1,0.0,0.2,0.5,0.0,0,1.0,2.0,1.1,0.1,1.8,1.7,20.3,0.6,1.0,0.0,0,False,False,False,True
26,12,1010,1,0,1,0,0.2,83.0,1.0,0,7.08,1.3,2.9,1.0,0.3,3.2,0.4,0.5,0,0.2,0.2,0.7,0.1,0.2,0.5,35.2,0.0,2.4,0.0,0,True,False,False,False
24,3,386,2,0,0,0,0.8,78.6,0.3,0,6.57,0.6,0.5,0.3,0.0,0.1,0.3,0.0,0,0.5,0.8,0.6,0.3,0.7,0.1,10.9,0.2,0.4,0.1,1,False,False,False,True
29,2,176,1,0,0,0,0.8,70.0,1.2,1,6.47,0.4,0.0,0.8,0.0,0.2,0.4,0.0,0,0.2,1.2,0.8,0.2,1.0,0.6,8.0,0.0,0.2,0.0,0,False,True,False,False
